Year ,Population ,,,
1950,1022100,,,
1951,1068100,,,
1952,1127000,,,
1953,1191800,,,
1954,1248200,,,
1955,1305500,,,
1956,1371600,,,
1957,1445929,,,
1958,1518800,,,
1959,1587200,,,
1960,1646400,,,
1961,1702400,,,
1962,1795000,,,
1963,1810000,,,
1964,1841600,,,
1965,1886900,,,
1966,1934400,,,
1967,1977600,,,
1968,2012000,,,
1969,2042500,,,
1970,2074507,,,
1971,2112900,,,
1972,2152400,,,
1973,2193000,,,
1974,2229800,,,
1975,2262600,,,
1976,2293300,,,
1977,2325300,,,
1978,2353600,,,
1979,2383500,,,
1980,2413945,,,
1981,2532835,,,
1982,2646466,,,
1983,2681061,,,
1984,2732221,,,
1985,2735957,,,
1986,2733373,,,
1987,2774789,,,
1988,2846108,,,
1989,2930901,,,
1990,3047132,,,
1991,3135083,,,
1992,3230698,,,
1993,3313471,,,
1994,3419048,,,
1995,3524506,,,
1996,3670704,,,
1997,3796038,,,
1998,3927213,,,
1999,3958723,,,
2000,4027887,,,
2001,4138012,,,
2002,4175950,,,
2003,4114826,,,
2004,4166664,,,
2005,4265762,,,
2006,4401365,,,
2007,4588599,,,
2008,4839396,,,
2009,4987573,,,
2010,5076732,,,
2011,5183688,,,
2012,5312437,,,
2013,5399162,,,
2014,5469724,,,
2015,5535002,,,
2016,5607283,,,
2017,5612253,,,
2018,5638676,,,
2019,5703569,,,
2020,5685807,,,
2021,5453566,,,
2022,5975689,,,
